trainer_id,name,"Total Parent 
Response Rate %",Total Teacher Response Rate %,Total Student Response Rate %,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Supportive Environment Score,Strong Family-Community Ties Score,Trust Score,domain
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,3,45,62.0,,,,,,,Unknown
02M297,M.S. 297,44,68,91.0,3.53,3.82,3.4,,3.76,3.2,Unknown
02M298,PACE HIGH SCHOOL,26,95,80.0,3.71,3.35,3.75,,3.21,3.38,Unknown
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",56,100,87.0,,,,,,4.33,Unknown
02M303,"FACING HISTORY SCHOOL, THE",30,100,84.0,4.4,4.23,3.85,,3.95,4.37,Unknown
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,100,87.0,3.73,4.22,3.43,,4.55,3.72,Unknown
02M308,LOWER MANHATTAN ARTS ACADEMY,30,93,77.0,3.23,2.8,3.47,,1.96,1.85,Unknown
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,51,65,94.0,4.33,3.45,3.64,,3.77,4.02,Unknown
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",26,95,54.0,3.73,3.66,3.61,,3.59,3.9,Unknown
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",27,87,36.0,3.73,3.96,3.08,,3.34,4.22,Unknown
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,71,100,,3.54,4.04,4.13,,4.49,3.98,Unknown
02M343,THE PECK SLIP SCHOOL,81,82,,3.9,3.75,4.16,,4.4,3.85,Unknown
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,29,83,80.0,2.13,2.5,3.26,,2.82,2.0,Unknown
02M374,GRAMERCY ARTS HIGH SCHOOL,18,69,91.0,3.03,2.97,2.88,,2.61,2.51,Unknown
02M376,NYC ISCHOOL,66,97,93.0,4.46,3.9,4.44,,3.78,4.27,Unknown
02M392,MANHATTAN BUSINESS ACADEMY,28,97,79.0,4.29,3.62,4.65,,2.45,3.51,Unknown
02M393,BUSINESS OF SPORTS SCHOOL,16,95,71.0,3.28,3.47,3.35,,3.74,3.65,Unknown
02M394,EMMA LAZARUS HIGH SCHOOL,79,95,97.0,3.0,3.17,3.31,,3.62,3.33,Unknown
02M397,SPRUCE STREET SCHOOL,68,98,81.0,4.41,4.41,4.08,,4.23,3.55,Unknown
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,10,74,74.0,2.42,2.56,2.39,,1.73,2.19,Unknown
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,15,81,70.0,3.8,4.38,3.95,,3.56,3.67,Unknown
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,26,26,86.0,,,,,,,Unknown
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,50,89,82.0,3.83,3.73,3.37,,3.3,3.31,Unknown
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,39,93,78.0,3.04,2.74,3.65,,3.59,2.68,Unknown
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,43,79,94.0,4.48,4.07,4.39,,4.23,4.04,Unknown
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,43,80,82.0,,,,,,3.18,Unknown
02M414,N.Y.C. MUSEUM SCHOOL,27,87,93.0,3.11,2.98,3.88,,3.02,2.14,Unknown
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,53,80,92.0,3.62,3.78,4.49,,4.05,3.93,Unknown
02M418,MILLENNIUM HIGH SCHOOL,38,98,94.0,3.32,3.43,2.86,,3.26,3.39,Unknown
02M419,LANDMARK HIGH SCHOOL,31,100,75.0,3.99,4.22,3.42,,3.7,3.84,Unknown
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,52,94,90.0,,,,,,3.41,Unknown
02M422,QUEST TO LEARN,24,100,73.0,3.96,3.42,3.14,,3.3,3.85,Unknown
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,21,87,72.0,3.43,3.02,2.52,,2.94,3.44,Unknown
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,60,90,89.0,3.88,4.17,3.78,,3.77,3.64,Unknown
02M432,MURRAY HILL ACADEMY,21,92,74.0,4.41,4.41,4.74,,3.38,3.76,Unknown
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,5,94,78.0,2.77,2.84,3.05,,2.34,2.06,Unknown
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,24,82,90.0,3.95,3.64,3.67,,3.43,4.23,Unknown
02M439,MANHATTAN VILLAGE ACADEMY,51,80,93.0,4.21,3.78,4.77,,4.18,3.62,Unknown
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",77,82,100.0,3.98,4.63,4.23,,4.4,4.42,Unknown
02M449,VANGUARD HIGH SCHOOL,9,97,82.0,3.93,3.69,3.7,,3.79,3.92,Unknown
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,91,100,91.0,4.67,4.48,4.77,,4.17,4.41,Unknown
02M473,WASHINGTON IRVING YABC,67,78,69.0,3.38,3.7,3.43,,4.09,4.28,Unknown
02M475,STUYVESANT HIGH SCHOOL,37,72,89.0,,,,,,4.07,Unknown
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,20,87,79.0,,,,,,3.62,Unknown
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,92,83,95.0,3.69,3.93,3.68,,3.53,4.19,Unknown
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,82,100,90.0,4.55,3.78,4.51,,3.89,4.07,Unknown
02M519,TALENT UNLIMITED HIGH SCHOOL,31,100,84.0,3.03,3.24,3.45,,3.74,3.21,Unknown
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,3,87,62.0,2.84,2.61,2.48,,3.22,2.6,Unknown
02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,62,100,,3.98,4.32,4.17,,4.66,4.66,Unknown
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,11,79,65.0,2.92,3.24,2.09,,1.92,2.16,Unknown
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,31,81,0.0,3.63,2.12,4.18,,2.83,3.21,Unknown
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,78,81,77.0,3.35,3.91,4.16,,4.15,3.55,Unknown
02M534,HARVEST COLLEGIATE HIGH SCHOOL,28,84,55.0,3.7,3.95,3.2,,3.89,3.55,Unknown
02M542,MANHATTAN BRIDGES HIGH SCHOOL,63,94,76.0,4.36,3.87,4.9,,3.83,3.91,Unknown
02M543,NEW DESIGN HIGH SCHOOL,8,83,76.0,3.47,3.74,3.88,,1.85,3.85,Unknown
02M544,INDEPENDENCE HIGH SCHOOL,1,80,10.0,3.91,3.48,3.59,,,,Unknown
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,68,76,98.0,2.76,3.25,3.61,,2.3,3.72,Unknown
02M546,ACADEMY FOR SOFTWARE ENGINEERING,40,100,74.0,3.82,4.38,3.85,,3.85,3.88,Unknown
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,45,77,79.0,3.22,3.82,3.57,,3.48,3.01,Unknown
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,44,98,65.0,3.21,4.0,2.27,,3.48,3.89,Unknown
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,11,86,29.0,4.34,4.31,4.7,,3.3,4.0,Unknown
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,49,100,73.0,4.35,4.59,4.57,,3.87,4.32,Unknown
02M570,SATELLITE ACADEMY HIGH SCHOOL,4,69,17.0,3.72,2.16,4.41,,2.71,3.02,Unknown
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,23,91,84.0,4.47,4.05,4.09,,3.66,4.31,Unknown
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,20,81,74.0,3.19,3.43,3.28,,3.84,3.87,Unknown
02M586,HARVEY MILK HIGH SCHOOL,38,100,60.0,4.04,4.02,3.59,,4.62,4.5,Unknown
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,26,96,91.0,,,,,,3.8,Unknown
02M605,HUMANITIES PREPARATORY ACADEMY,30,83,74.0,4.77,4.3,4.01,,3.71,4.46,Unknown
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,25,86,73.0,2.62,2.51,2.93,,3.15,3.02,Unknown
02M630,ART AND DESIGN HIGH SCHOOL,29,99,79.0,3.21,3.36,2.96,,3.35,2.41,Unknown
02M655,LIFE SCIENCES SECONDARY SCHOOL,16,91,70.0,3.65,3.88,2.33,,3.45,3.98,Unknown
02M896,LOWER MANHATTAN COMMUNITY MIDDLE SCHOOL,68,97,96.0,4.51,4.38,3.96,,4.32,4.58,Unknown
02M933,CITY KNOLL MIDDLE SCHOOL,20,61,90.0,2.7,1.35,2.94,,3.3,2.73,Unknown
03M009,P.S. 009 SARAH ANDERSON,73,100,,4.72,4.66,4.94,,4.49,4.65,Unknown
03M054,J.H.S. 054 BOOKER T. WASHINGTON,56,71,36.0,3.64,3.63,4.44,,3.88,3.61,Unknown
03M075,P.S. 075 EMILY DICKINSON,53,81,,3.88,3.52,3.87,,4.18,3.91,Unknown
03M076,P.S. 076 A. PHILIP RANDOLPH,69,100,89.0,3.52,3.87,3.89,,4.15,4.12,Unknown
03M084,P.S. 084 LILLIAN WEBER,91,100,,4.5,3.81,3.55,,3.89,3.62,Unknown
03M087,P.S. 087 WILLIAM SHERMAN,69,92,,4.09,3.92,4.08,,4.57,3.73,Unknown
03M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",81,97,,3.18,3.46,3.33,,4.1,3.1,Unknown
03M149,P.S. 149 SOJOURNER TRUTH,92,58,99.0,3.47,3.57,3.38,,3.59,3.54,Unknown
03M163,P.S. 163 ALFRED E. SMITH,50,89,,3.73,3.28,3.83,,3.76,2.97,Unknown
03M165,P.S. 165 ROBERT E. SIMON,80,100,,3.56,3.43,3.93,,4.01,3.47,Unknown
03M166,P.S. 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND TECHNOLOGY,67,82,,3.25,3.27,4.08,,4.01,2.33,Unknown
03M180,P.S. 180 HUGO NEWMAN,31,96,86.0,3.21,3.16,2.64,,3.76,2.21,Unknown
03M185,THE LOCKE SCHOOL OF ARTS AND ENGINEERING,92,94,,3.39,3.79,3.47,,4.32,3.45,Unknown
03M191,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS,91,95,97.0,3.09,3.1,3.33,,4.01,3.51,Unknown
03M199,P.S. 199 JESSIE ISADOR STRAUS,51,88,,,,,,,3.25,Unknown
03M241,STEM INSTITUTE OF MANHATTAN,47,94,,,,,,,2.25,Unknown
03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY,71,100,,3.18,3.35,3.29,,3.76,3.68,Unknown
03M243,M.S. 243 CENTER SCHOOL,100,100,94.0,3.98,4.34,3.85,,4.0,4.34,Unknown
03M245,M.S. M245 THE COMPUTER SCHOOL,64,93,92.0,,,,,,4.16,Unknown
03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL,70,100,97.0,4.28,4.01,4.47,,4.7,4.26,Unknown
03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL,65,94,95.0,,,,,,4.42,Unknown
03M256,LAFAYETTE ACADEMY,54,100,92.0,3.84,4.04,3.58,,4.06,4.65,Unknown
03M258,COMMUNITY ACTION SCHOOL - MS 258,51,100,97.0,,,,,,3.9,Unknown
03M291,WEST END SECONDARY SCHOOL,75,100,98.0,3.81,4.55,4.82,,4.57,4.18,Unknown
03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,17,81,59.0,2.3,2.66,1.76,,2.55,1.95,Unknown
03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",63,93,96.0,4.72,4.06,4.03,,3.48,4.27,Unknown
03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN,58,100,78.0,2.98,2.57,3.99,,3.98,2.32,Unknown
03M334,THE ANDERSON SCHOOL,80,100,98.0,3.99,2.63,4.76,,4.32,3.57,Unknown
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,97,100,81.0,4.57,4.2,4.28,,3.16,3.51,Unknown
03M403,THE GLOBAL LEARNING COLLABORATIVE,33,83,71.0,4.28,4.1,3.47,,3.24,3.76,Unknown
03M404,INNOVATION DIPLOMA PLUS,43,100,69.0,,,,,,3.88,Unknown
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,81,97,92.0,3.11,3.32,2.4,,4.34,3.67,Unknown
03M417,FRANK MCCOURT HIGH SCHOOL,43,93,74.0,3.97,3.44,3.58,,3.31,3.25,Unknown
03M421,WEST PREP ACADEMY,49,90,90.0,4.25,3.98,3.41,,3.68,3.67,Unknown
03M452,P.S. 452,58,93,,3.95,3.32,3.88,,4.4,3.78,Unknown
03M479,BEACON HIGH SCHOOL,33,36,85.0,3.11,2.96,3.74,,2.85,2.5,Unknown
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,21,63,91.0,3.28,3.39,4.5,,2.45,1.46,Unknown
03M492,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",56,88,85.0,4.2,3.44,3.93,,3.09,3.49,Unknown
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,22,81,82.0,2.05,2.14,1.55,,2.45,2.8,Unknown
03M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,13,97,38.0,3.16,3.25,2.86,,3.51,3.63,Unknown
03M541,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,68,96,90.0,,,,,,3.63,Unknown
03M859,SPECIAL MUSIC SCHOOL,65,70,94.0,4.62,3.99,4.85,,3.83,4.02,Unknown
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,34,59,69.0,2.7,2.76,2.79,,3.66,3.19,Unknown
03M862,MOTT HALL II,67,96,97.0,4.28,4.43,4.15,,4.03,3.62,Unknown
04M007,P.S. 007 SAMUEL STERN,46,67,88.0,2.77,1.83,3.46,,2.48,2.53,Unknown
04M012,TAG YOUNG SCHOLARS,64,87,95.0,3.58,3.58,4.66,,3.3,2.54,Unknown
04M037,RIVER EAST ELEMENTARY,67,91,,4.7,4.5,4.33,,4.15,4.36,Unknown
04M038,P.S. 38 ROBERTO CLEMENTE,100,100,,3.55,3.8,3.39,,3.59,3.36,Unknown
04M057,JAMES WELDON JOHNSON,52,84,96.0,2.39,2.7,2.92,,2.99,2.46,Unknown
04M072,THE LEXINGTON ACADEMY,17,70,88.0,3.62,2.14,3.69,,3.21,3.01,Unknown
04M083,P.S. 083 LUIS MUNOZ RIVERA,58,94,,4.28,3.92,3.66,,4.4,4.3,Unknown
04M096,P.S. 096 JOSEPH LANZETTA,57,88,94.0,2.85,3.34,3.4,,3.16,3.4,Unknown
04M102,P.S. 102 JACQUES CARTIER,36,83,,2.31,2.5,1.8,,2.82,1.45,Unknown
04M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDUCATIONAL COMPLEX,52,100,98.0,3.73,3.42,2.83,,3.93,4.1,Unknown
04M112,P.S. 112 JOSE CELSO BARBOSA,65,94,,4.19,3.6,4.25,,4.4,3.91,Unknown
04M146,P.S. 146 ANN M. SHORT,31,75,,3.36,3.46,2.64,,4.44,4.38,Unknown
04M155,P.S. 155 WILLIAM PACA,80,93,,2.58,2.89,3.09,,2.99,2.62,Unknown
04M171,P.S. 171 PATRICK HENRY,100,54,97.0,4.44,4.02,4.82,,4.4,4.06,Unknown
04M182,THE BILINGUAL BICULTURAL SCHOOL,80,85,,3.92,3.74,3.33,,3.93,3.87,Unknown
04M206,P.S. 206 JOSE CELSO BARBOSA,86,96,99.0,3.38,3.38,3.31,,3.76,3.68,Unknown
04M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS & ACADEMICS,59,94,95.0,,,,,,3.27,Unknown
04M310,THE JUDITH S. KAYE HIGH SCHOOL,3,100,24.0,4.2,4.1,3.69,,,,Unknown
04M372,ESPERANZA PREPARATORY ACADEMY,50,88,86.0,3.46,3.55,3.51,,3.22,3.49,Unknown
04M375,MOSAIC PREPARATORY ACADEMY,63,80,,3.29,3.73,3.48,,3.81,2.35,Unknown
04M377,RENAISSANCE SCHOOL OF THE ARTS,96,82,90.0,4.38,3.86,3.64,,3.87,3.77,Unknown
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,92,89,92.0,4.86,4.73,4.95,,3.21,4.0,Unknown
04M495,PARK EAST HIGH SCHOOL,58,100,92.0,4.54,3.97,4.07,,3.92,3.92,Unknown
04M497,CENTRAL PARK EAST I,49,50,,2.05,2.48,2.29,,3.96,3.21,Unknown
04M555,CENTRAL PARK EAST HIGH SCHOOL,32,100,92.0,4.77,4.54,4.82,,4.05,4.33,Unknown
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL,48,100,78.0,4.76,4.32,4.46,,3.51,4.23,Unknown
04M680,"HERITAGE SCHOOL, THE",75,100,95.0,3.88,3.92,2.64,,2.81,3.39,Unknown
04M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH & SCIENCE,48,100,68.0,2.81,3.29,2.53,,3.6,3.68,Unknown
04M964,CENTRAL PARK EAST II,48,74,77.0,,,,,,3.36,Unknown
05M030,P.S. 030 HERNANDEZ/HUGHES,82,100,,3.82,3.67,3.4,,4.01,3.97,Unknown
05M036,P.S. 036 MARGARET DOUGLAS,36,65,,2.96,2.62,3.0,,4.1,2.82,Unknown
05M046,P.S. 046 ARTHUR TAPPAN,65,72,90.0,3.01,2.9,2.78,,4.01,3.52,Unknown
05M092,P.S. 092 MARY MCLEOD BETHUNE,97,82,,3.98,3.37,3.51,,3.72,3.26,Unknown
05M123,P.S. 123 MAHALIA JACKSON,100,69,97.0,3.08,3.54,2.77,,3.84,3.46,Unknown
05M125,P.S. 125 RALPH BUNCHE,49,77,,,,,,,3.81,Unknown
05M129,P.S. 129 JOHN H. FINLEY,50,33,98.0,2.53,2.37,2.32,,3.36,3.27,Unknown
05M133,P.S. 133 FRED R MOORE,80,94,,3.29,3.3,2.81,,2.74,3.15,Unknown
05M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,5,75,16.0,3.29,3.48,3.39,,3.09,3.09,Unknown
05M154,P.S. 154 HARRIET TUBMAN,50,86,,3.11,3.53,3.51,,3.42,3.32,Unknown
05M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,41,100,71.0,2.62,3.28,2.4,,3.97,3.04,Unknown
